PID,SKID,Start_Date,Category,License_Period,Extension_Period,Pending_Charge,Performance
1,6,2020-12-21,Vegetable,24,25,1100,4.5
2,1,2019-01-01,Eggs,21,36,13300,2.1
3,5,2018-06-12,Cycle,25,33,5400,1.7
5,2,2020-04-10,Vegetable,22,23,2300,3.7
6,8,2017-05-06,Cycle,15,10,5600,2.2
7,3,2021-10-07,Fruits,23,15,3400,4.8
8,7,2018-07-10,Cafe,11,23,3300,1.2
9,6,2017-10-22,Juice,21,43,4400,3.6
11,10,2019-11-13,"Fast Food",24,17,3400,2.9
12,13,2020-03-21,"Fast Food",12,25,12300,4.3
13,13,2021-02-11,Grocery,14,11,6400,4.9
14,2,2020-12-06,Stationary,6,6,2100,3.3
15,11,2021-01-15,Grocery,21,16,9800,3.9
